model,seed,step,entropy_bits
Claude Sonnet 4.5,1,1,6.643856189774724
Claude Sonnet 4.5,1,2,5.906890595608519
Claude Sonnet 4.5,1,3,5.087462841250339
Claude Sonnet 4.5,1,4,4.087462841250339
Claude Sonnet 4.5,1,5,3
Claude Sonnet 4.5,1,6,1.584962500721156
Claude Sonnet 4.5,1,7,1
Claude Sonnet 4.5,1,8,1
Claude Sonnet 4.5,1,9,1
Claude Sonnet 4.5,2,1,6.643856189774724
Claude Sonnet 4.5,2,2,6.108524456778169
Claude Sonnet 4.5,2,3,5.357552004618084
Claude Sonnet 4.5,2,4,4.643856189774724
Claude Sonnet 4.5,2,5,3.700439718141092
Claude Sonnet 4.5,2,6,2.584962500721156
Claude Sonnet 4.5,2,7,1
Claude Sonnet 4.5,2,8,1
Claude Sonnet 4.5,2,9,1
Claude Sonnet 4.5,3,1,6.643856189774724
Claude Sonnet 4.5,3,2,5.857980995127572
Claude Sonnet 4.5,3,3,5.087462841250339
Claude Sonnet 4.5,3,4,4.392317422778761
Claude Sonnet 4.5,3,5,3.459431618637297
Claude Sonnet 4.5,3,6,2.584962500721156
Claude Sonnet 4.5,3,7,1
Claude Sonnet 4.5,3,8,1
Claude Sonnet 4.5,3,9,1
Claude Sonnet 4.5,4,1,6.643856189774724
Claude Sonnet 4.5,4,2,6.129283016944966
Claude Sonnet 4.5,4,3,5.459431618637297
Claude Sonnet 4.5,4,4,4.643856189774724
Claude Sonnet 4.5,4,5,3.906890595608519
Claude Sonnet 4.5,4,6,3.169925001442312
Claude Sonnet 4.5,4,7,0
Claude Sonnet 4.5,4,8,0
Claude Sonnet 4.5,4,9,0
Claude Sonnet 4.5,5,1,6.643856189774724
Claude Sonnet 4.5,5,2,5.977279923499917
Claude Sonnet 4.5,5,3,5.087462841250339
Claude Sonnet 4.5,5,4,4.087462841250339
Claude Sonnet 4.5,5,5,3
Claude Sonnet 4.5,5,6,2
Claude Sonnet 4.5,5,7,0
Claude Sonnet 4.5,5,8,0
Claude Sonnet 4.5,5,9,0
Claude Sonnet 4.5,6,1,6.643856189774724
Claude Sonnet 4.5,6,2,6.108524456778169
Claude Sonnet 4.5,6,3,5.357552004618084
Claude Sonnet 4.5,6,4,4.643856189774724
Claude Sonnet 4.5,6,5,3.807354922057604
Claude Sonnet 4.5,6,6,3.169925001442312
Claude Sonnet 4.5,6,7,0
Claude Sonnet 4.5,6,8,0
Claude Sonnet 4.5,6,9,0
Claude Sonnet 4.5,7,1,6.643856189774724
Claude Sonnet 4.5,7,2,5.832890014164741
Claude Sonnet 4.5,7,3,5.044394119358453
Claude Sonnet 4.5,7,4,4.169925001442312
Claude Sonnet 4.5,7,5,3.169925001442312
Claude Sonnet 4.5,7,6,2
Claude Sonnet 4.5,7,7,0
Claude Sonnet 4.5,7,8,0
Claude Sonnet 4.5,7,9,0
Claude Sonnet 4.5,8,1,6.643856189774724
Claude Sonnet 4.5,8,2,5.977279923499917
Claude Sonnet 4.5,8,3,5.20945336562895
Claude Sonnet 4.5,8,4,4.392317422778761
Claude Sonnet 4.5,8,5,3.321928094887362
Claude Sonnet 4.5,8,6,2
Claude Sonnet 4.5,8,7,0
Claude Sonnet 4.5,8,8,0
Claude Sonnet 4.5,8,9,0
Claude Sonnet 4.5,9,1,6.643856189774724
Claude Sonnet 4.5,9,2,5.954196310386875
Claude Sonnet 4.5,9,3,5.129283016944966
Claude Sonnet 4.5,9,4,4.459431618637297
Claude Sonnet 4.5,9,5,3.584962500721156
Claude Sonnet 4.5,9,6,2.584962500721156
Claude Sonnet 4.5,9,7,0
Claude Sonnet 4.5,9,8,0
Claude Sonnet 4.5,9,9,0
Claude Sonnet 4.5,10,1,6.643856189774724
Claude Sonnet 4.5,10,2,6
Claude Sonnet 4.5,10,3,5.20945336562895
Claude Sonnet 4.5,10,4,4.321928094887363
Claude Sonnet 4.5,10,5,3.321928094887362
Claude Sonnet 4.5,10,6,2.321928094887362
Claude Sonnet 4.5,10,7,0
Claude Sonnet 4.5,10,8,0
Claude Sonnet 4.5,10,9,0
Gemini 2.5 Pro,1,1,6.643856189774724
Gemini 2.5 Pro,1,2,5.930737337562887
Gemini 2.5 Pro,1,3,5.321928094887363
Gemini 2.5 Pro,1,4,4.643856189774724
Gemini 2.5 Pro,1,5,3.584962500721156
Gemini 2.5 Pro,1,6,2
Gemini 2.5 Pro,1,7,1
Gemini 2.5 Pro,1,8,1
Gemini 2.5 Pro,1,9,1
Gemini 2.5 Pro,2,1,6.643856189774724
Gemini 2.5 Pro,2,2,5.930737337562887
Gemini 2.5 Pro,2,3,5.321928094887363
Gemini 2.5 Pro,2,4,4.643856189774724
Gemini 2.5 Pro,2,5,3.584962500721156
Gemini 2.5 Pro,2,6,2
Gemini 2.5 Pro,2,7,1
Gemini 2.5 Pro,2,8,1
Gemini 2.5 Pro,2,9,1
Gemini 2.5 Pro,3,1,6.643856189774724
Gemini 2.5 Pro,3,2,5.930737337562887
Gemini 2.5 Pro,3,3,5.321928094887363
Gemini 2.5 Pro,3,4,4.643856189774724
Gemini 2.5 Pro,3,5,3.584962500721156
Gemini 2.5 Pro,3,6,2
Gemini 2.5 Pro,3,7,1
Gemini 2.5 Pro,3,8,1
Gemini 2.5 Pro,3,9,1
Gemini 2.5 Pro,4,1,6.643856189774724
Gemini 2.5 Pro,4,2,5.930737337562887
Gemini 2.5 Pro,4,3,5.321928094887363
Gemini 2.5 Pro,4,4,4.643856189774724
Gemini 2.5 Pro,4,5,3.584962500721156
Gemini 2.5 Pro,4,6,2
Gemini 2.5 Pro,4,7,0
Gemini 2.5 Pro,4,8,0
Gemini 2.5 Pro,4,9,0
Gemini 2.5 Pro,5,1,6.643856189774724
Gemini 2.5 Pro,5,2,5.930737337562887
Gemini 2.5 Pro,5,3,5.321928094887363
Gemini 2.5 Pro,5,4,4.643856189774724
Gemini 2.5 Pro,5,5,3.584962500721156
Gemini 2.5 Pro,5,6,2
Gemini 2.5 Pro,5,7,0
Gemini 2.5 Pro,5,8,0
Gemini 2.5 Pro,5,9,0
Gemini 2.5 Pro,6,1,6.643856189774724
Gemini 2.5 Pro,6,2,5.930737337562887
Gemini 2.5 Pro,6,3,5.321928094887363
Gemini 2.5 Pro,6,4,4.643856189774724
Gemini 2.5 Pro,6,5,3.584962500721156
Gemini 2.5 Pro,6,6,2
Gemini 2.5 Pro,6,7,0
Gemini 2.5 Pro,6,8,0
Gemini 2.5 Pro,6,9,0
Gemini 2.5 Pro,7,1,6.643856189774724
Gemini 2.5 Pro,7,2,5.930737337562887
Gemini 2.5 Pro,7,3,5.321928094887363
Gemini 2.5 Pro,7,4,4.643856189774724
Gemini 2.5 Pro,7,5,3.584962500721156
Gemini 2.5 Pro,7,6,2
