model,step,entropy_bits_mean,entropy_bits_std,entropy_bits_lo,entropy_bits_hi
Claude Sonnet 4.5,1,6.643856189774725,0.000000000000001,6.643856189774724,6.643856189774724
Claude Sonnet 4.5,2,5.985284969278885,0.098994333498751,5.832890014164741,6.129283016944966
Claude Sonnet 4.5,3,5.202950801918581,0.1357385763414,5.044394119358453,5.459431618637297
Claude Sonnet 4.5,4,4.384241381234935,0.208315391420735,4.087462841250339,4.643856189774724
Claude Sonnet 4.5,5,3.42728605463827,0.304723323453328,3,3.906890595608519
Claude Sonnet 4.5,6,2.400162810065661,0.493820157368896,1.584962500721156,3.169925001442312
Claude Sonnet 4.5,7,0.3,0.458257569495584,0,1
Claude Sonnet 4.5,8,0.3,0.458257569495584,0,1
Claude Sonnet 4.5,9,0.3,0.458257569495584,0,1
GPT 5,1,6.643856189774725,0.000000000000001,6.643856189774724,6.643856189774724
GPT 5,2,5.915590603257205,0.096264364147821,5.807354922057604,6.108524456778169
GPT 5,3,5.075695152870126,0.185432518872456,4.754887502163468,5.321928094887363
GPT 5,4,4.154000473572817,0.303186597901051,3.700439718141092,4.700439718141092
GPT 5,5,3.125691900251368,0.416184983521794,2.584962500721156,3.906890595608519
GPT 5,6,1.2,0.4,1,2
GPT 5,7,0.3,0.458257569495584,0,1
GPT 5,8,0.3,0.458257569495584,0,1
GPT 5,9,0.3,0.458257569495584,0,1
Gemini 2.5 Pro,1,6.643856189774725,0.000000000000001,6.643856189774724,6.643856189774724
Gemini 2.5 Pro,2,5.930737337562887,0,5.930737337562887,5.930737337562887
Gemini 2.5 Pro,3,5.321928094887363,0,5.321928094887363,5.321928094887363
Gemini 2.5 Pro,4,4.643856189774724,0,4.643856189774724,4.643856189774724
Gemini 2.5 Pro,5,3.584962500721156,0,3.584962500721156,3.584962500721156
Gemini 2.5 Pro,6,2,0,2,2
Gemini 2.5 Pro,7,0.3,0.458257569495584,0,1
Gemini 2.5 Pro,8,0.3,0.458257569495584,0,1
Gemini 2.5 Pro,9,0.3,0.458257569495584,0,1
Grok 4,1,6.643856189774725,0.000000000000001,6.643856189774724,6.643856189774724
Grok 4,2,5.95637881337157,0.142975755542777,5.754887502163468,6.189824558880018
Grok 4,3,5.201666296850614,0.259646671343774,4.857980995127572,5.643856189774724
Grok 4,4,4.391349691041082,0.381690686324266,3.807354922057604,4.906890595608519
Grok 4,5,3.374037717569518,0.514580976916323,2.584962500721156,4
Grok 4,6,2.256926969111504,0.763566301520156,1,3.169925001442312
Grok 4,7,0.3,0.458257569495584,0,1
Grok 4,8,0.3,0.458257569495584,0,1
Grok 4,9,0.3,0.458257569495584,0,1
Oracle,1,6.643856189774725,0.000000000000001,6.643856189774724,6.643856189774724
Oracle,2,5.89125456566873,0.196554004320026,5.554588851677638,6.129283016944966
Oracle,3,5.025242215111389,0.304356304423539,4.584962500721156,5.523561956057013
Oracle,4,4.003596223039057,0.400975264684268,3.459431618637297,4.807354922057604
Oracle,5,2.898745832752046,0.577017396348668,2,4
Oracle,6,0.2,0.4,0,1
Oracle,7,0.2,0.4,0,1
Oracle,8,0.2,0.4,0,1
Oracle,9,0.2,0.4,0,1
