model,step,entropy_bits_mean,entropy_bits_std,entropy_bits_lo,entropy_bits_hi
Grok 4,1,6.643856189774727,2.710086169960177e-15,6.643856189774724,6.64385618977473
Grok 4,2,4.479373472668915,0.0722111611722316,4.407162311496684,4.551584633841147
Grok 4,3,3.2037826416211326,0.20274644737306854,3.001036194248064,3.4065290889942013
Grok 4,4,2.4162057517918396,0.33775799141196766,2.078447760379872,2.753963743203807
Grok 4,5,1.8353507263236726,0.35735737332500245,1.4779933529986702,2.192708099648675
Grok 4,6,1.2314787504086548,0.498605185752752,0.7328735646559028,1.7300839361614069
Grok 4,7,0.5,0.5085476277156078,0.0,1.0085476277156078
Grok 4,8,0.0,0.0,0.0,0.0
Grok 4,9,0.0,0.0,0.0,0.0
Grok 4,10,0.0,0.0,0.0,0.0
GPT 5,1,6.643856189774727,2.710086169960177e-15,6.643856189774724,6.64385618977473
GPT 5,2,4.442366982685002,0.0707370706070975,4.371629912077904,4.513104053292099
GPT 5,3,2.791840237452029,0.2606432465933922,2.5311969908586365,3.052483484045421
GPT 5,4,1.8339850002884623,0.20680192970944708,1.6271830705790153,2.0407869299979096
GPT 5,5,0.9974937501201926,0.40303662867664086,0.5944571214435517,1.4005303787968335
GPT 5,6,0.03333333333333333,0.18257418583505533,0.0,0.21590751916838866
GPT 5,7,0.0,0.0,0.0,0.0
GPT 5,8,0.0,0.0,0.0,0.0
GPT 5,9,0.0,0.0,0.0,0.0
GPT 5,10,0.0,0.0,0.0,0.0
Gemini 2.5 Pro,1,6.643856189774727,2.710086169960177e-15,6.643856189774724,6.64385618977473
Gemini 2.5 Pro,2,4.4478866599981055,0.09178825544506,4.3560984045530455,4.5396749154431655
Gemini 2.5 Pro,3,3.020887380432633,0.2131676683416478,2.8077197120909854,3.2340550487742807
Gemini 2.5 Pro,4,1.6422096869049005,0.331744323687475,1.3104653632174257,1.9739540105923754
Gemini 2.5 Pro,5,1.0559900001923084,0.5133864113818184,0.54260358881049,1.5693764115741269
Gemini 2.5 Pro,6,0.3,0.466091599699399,0.0,0.766091599699399
Gemini 2.5 Pro,7,0.0,0.0,0.0,0.0
Gemini 2.5 Pro,8,0.0,0.0,0.0,0.0
Gemini 2.5 Pro,9,0.0,0.0,0.0,0.0
Gemini 2.5 Pro,10,0.0,0.0,0.0,0.0
Claude Sonnet 4.5,1,6.643856189774727,2.710086169960177e-15,6.643856189774724,6.64385618977473
Claude Sonnet 4.5,2,4.448380928371438,0.08245878905125965,4.365922139320178,4.5308397174226975
Claude Sonnet 4.5,3,3.2000297644284745,0.22877536742288276,2.9712543970055916,3.4288051318513575
Claude Sonnet 4.5,4,2.2115150831118586,0.18629684119400608,2.0252182419178526,2.3978119243058647
Claude Sonnet 4.5,5,1.6761404171714755,0.2252070128344291,1.4509334043370465,1.9013474300059046
Claude Sonnet 4.5,6,0.9194987500240385,0.32945972438792104,0.5900390256361174,1.2489584744119595
Claude Sonnet 4.5,7,0.03333333333333333,0.18257418583505533,0.0,0.21590751916838866
Claude Sonnet 4.5,8,0.0,0.0,0.0,0.0
Claude Sonnet 4.5,9,0.0,0.0,0.0,0.0
Claude Sonnet 4.5,10,0.0,0.0,0.0,0.0
Oracle (Optimal),1,6.643856189774727,2.710086169960177e-15,6.643856189774724,6.64385618977473
Oracle (Optimal),2,4.357921975509996,0.34489300329513417,4.013028972214862,4.702814978805129
Oracle (Optimal),3,2.1793313136623085,0.6568670767980996,1.522464236864209,2.836198390460408
Oracle (Optimal),4,0.5974937501201926,0.6910902730713352,0.0,1.2885840231915278
Oracle (Optimal),5,0.0,0.0,0.0,0.0
Oracle (Optimal),6,0.0,0.0,0.0,0.0
Oracle (Optimal),7,0.0,0.0,0.0,0.0
Oracle (Optimal),8,0.0,0.0,0.0,0.0
Oracle (Optimal),9,0.0,0.0,0.0,0.0
Oracle (Optimal),10,0.0,0.0,0.0,0.0
